"numericalId","key","startTime","endTime","duration","type","CodPanelista","DEVICE","SEXO","EDAD","EDADR","NSE","ZONA","B1","B2","B2#98#value","B3","B3#98#value","C1","C2","C3_1","C3_2","C3_3","C3_4","C3_5","C3_6","C3_7","C3_8","C3_9","C3_10","C3_11","C3_12","C3_13","C3_14","C3_15","C3_16","C5a","C5b","C5b#98#value","A1","A2#1","A2#2","A2#3","A2#4","O1_1","O1_2","O1_3","O1_4","O1_5","O1_6","O1_7","O1_8","O1_9","O1_10","O2_1","O2_2","O2_3","O2_4","O2_5","O2_6","O2_7","O2_8","O2_9","O2_10","O2_11","O2_12","O2_13","O2_14","O3_1","O3_2","O3_3","O3_4","O3_5","O3_6","O3_7","O3_8","O3_9","O3_10","O4_1","O4_2","O4_3","O4_4","O4_5","O4_6","O4_7","O4_8","O4_9","O4_10","O4_11","O4_12","O5","E2","E3","E4","S5#1","S5#2","S5#3","S5#4","S5#5","S5#6","S5#7","S5#8","S5#9","S5#10","S5#11","S5#12","S5#13","S5#14","S5#15","S5#16","S5#17","S5#18","S5#99","T6#1","T6#2","T6#5","T6#6","T6#7","T6#8","T6#9","T6#11","T6#12","T6#14","T6#15","T6#99","M4","M5","M6","M6b_T","M6b_T#1#value","M7","M8","M9","M10","M11_1","M11_2","M11_3","M11_4","M11_5","M11_6","M11_7","M11_8","M12_1","M12_2","M12_3","M12_4","M12_5","M12_6","M13#1","M13#2","M13#3","M13#4","M13#5","M13#6","M13#7","M13#99","M14","M15","M16_1","M16_2","M16_3","M16_4","M16_5","M16_6","M16_7","M16_8","M16_9","M16R_1","M16R_2","M17","M18_1","M18_2","M18_3","M18_4","M18_5","M18_6","M18_7","M18_8","NSE_RECOD","C3_1_RECOD","C3_2_RECOD","C3_3_RECOD","C3_4_RECOD","C3_5_RECOD","C3_6_RECOD","C3_7_RECOD","C3_8_RECOD","C3_9_RECOD","C3_10_RECOD","C3_11_RECOD","C3_12_RECOD","C3_13_RECOD","C3_14_RECOD","C3_15_REOD","C3_16_RECOD","O4_1_RECOD","O4_2_RECOD","O4_3_RECOD","O4_4_RECOD","O4_5_RECOD","O4_6_RECOD","O4_7_RECOD","O4_8_RECOD","O4_9_RECOD","O4_10_RECOD","O4_11_RECOD","O4_12_RECOD","NSE_sint","educ_recod","ZM12_4","ZM12_6","dieta_dummy","femenino_dummy","clase_alta_dummy","clase_media_dummy","clase_baja_dummy","deuda","MR1","MR2","MR3","MR4","MR5","MR6","PA1","PA2","Consumo_Critico","Eficiencia_Hogar","Planificacion","Facilidad_reciclaje","Percep_responsabilidad","situacion_financiera.x","situacion_financiera.y"
548450112,"83443c8b-e6df-4a23-b348-72102787576d",2023-07-18 14:49:34,2023-07-18 15:15:47,1572,"complete","14b03a5f7156da3c",3,2,42,4,6,13,1,NA,".",2,NA,5,6,3,3,5,4,4,3,3,5,3,4,4,4,3,4,4,5,1,NA,".",5,1,1,1,1,4,1,5,1,5,1,4,3,5,4,3,4,4,5,3,3,3,4,3,3,3,3,3,4,3,3,5,3,2,3,3,2,1,2,3,2,3,3,3,3,4,2,4,3,2,4,"De personas que quiere satisfacer sus necesidades como sea!!!",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,6,NA,1,NA,".",NA,3,5,3,2,2,1,2,2,2,2,2,0,1,90,100,1,6,0,0,0,0,0,1,0,0,150,3,1,NA,2,NA,NA,NA,NA,NA,NA,1,3,2,20000,20000,0,0,1e+05,0,15000,0,3,2,2,3,3,3,2,2,3,2,3,3,3,2,3,3,3,2,3,2,2,2,2,1,3,1,2,3,1,4,3,-0.236810161661106,-0.395561316867253,0,1,0,0,1,1,0.416983968226639,-0.315663093084488,0.296931354478963,0.473079842072651,-0.342885636833852,0.195597856721279,0.773919572383792,0.577937212089716,0.331737937488518,-0.357346683578775,0.0591783314591369,0.158755891800822,-0.466840244680713,"No Déficit (Ahorro/Equilibrio)","No Déficit (Ahorro/Equilibrio)"
548450144,"e4ad9122-a460-43bf-abf5-039a10f736c3",2023-07-18 14:49:46,2023-07-18 15:16:29,1602,"complete","4ab811c30b7047a8",3,2,34,3,6,8,1,NA,".",3,NA,5,4,3,4,4,2,4,2,4,4,4,2,4,4,2,2,3,4,1,NA,".",5,1,0,0,0,1,2,5,5,2,2,2,1,4,1,5,3,5,5,2,1,1,2,1,5,2,1,2,1,2,1,3,2,2,3,2,2,1,2,2,2,4,3,1,5,3,3,4,3,3,2,"Cigarro y alcohol",2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,4,1,NA,".",6,3,1,1,1,2,1,2,2,2,2,2,1,1,10,14,2,10,0,0,0,0,0,1,0,0,2e+05,1,NA,NA,NA,NA,NA,NA,NA,1,NA,8,NA,4,15000,30000,38000,50000,2e+05,50000,30000,30000,3,2,3,3,1,3,1,3,3,3,1,3,3,1,1,2,3,3,3,1,2,3,1,2,2,1,2,2,3,4,5,-0.318691654352283,-0.368160133859696,0,1,0,0,1,1,-0.00846031446973613,-0.480835295945454,0.370452897042101,0.132102908918738,-0.266693132039642,-0.505131994889645,0.92045777689664,0.222813552383549,-0.205943291092435,-0.323157600619779,-0.948253503874731,0.196372947944244,-0.095431316937825,"No Déficit (Ahorro/Equilibrio)","No Déficit (Ahorro/Equilibrio)"
548450150,"2ad9368c-bc48-434e-bcc1-88956fdc8ce5",2023-07-18 14:49:46,2023-07-18 15:06:32,1005,"complete","068f2b6a0d760bd4",3,2,26,3,7,14,1,NA,".",2,NA,2,6,3,3,4,4,3,3,3,1,3,3,4,3,3,3,3,3,2,NA,".",5,1,0,0,0,3,1,4,2,4,3,4,4,5,5,5,4,4,3,4,4,3,4,5,4,3,3,3,5,3,1,3,3,1,3,4,1,1,5,2,3,3,3,3,2,3,3,3,3,3,3,"Que le fome tan sierras cosas a las personas para que compren algo",1,5,NA,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,5,4,1,NA,".",5,NA,10,2,1,1,1,2,1,1,2,1,0,1,5,10,3,59,1,1,0,0,0,1,1,0,128000,3,NA,NA,NA,NA,2,1,NA,NA,NA,6,5,4,30000,30000,0,25000,3e+05,2e+05,20000,2e+05,3,2,2,3,3,2,2,2,1,2,2,3,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,5,2,-0.322500095872803,-0.0324956420171257,0,1,0,0,1,1,0.153176831904868,0.0317896107502451,0.209803373934059,0.297859526710877,-0.107911613408617,0.389301063520796,0.315098371721743,-0.202586656432656,0.270815286620483,-0.0526064666316912,0.447279320954139,0.117747895023578,-0.305378496353402,"Déficit (Gasta más)","Déficit (Gasta más)"
548450221,"adfc923d-09fd-4cb7-9645-f661e6992a29",2023-07-18 14:50:10,2023-07-18 15:08:27,1096,"complete","93bba216ac4fa226",3,1,56,6,4,13,1,NA,".",1,NA,5,5,4,2,2,4,1,1,2,1,1,1,3,2,3,2,4,1,1,NA,".",1,1,1,1,1,3,1,2,2,4,2,5,5,5,4,5,5,5,5,3,2,3,3,2,3,4,3,4,5,5,4,4,5,2,3,4,2,1,5,5,4,5,3,2,3,2,2,3,5,2,1,"Las diferentes celebraciones",2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,5,1,1,NA,".",NA,1,8,1,1,2,1,2,2,1,2,1,1,2,300,450,3,30,0,1,0,0,0,1,0,0,250000,1,NA,NA,1,NA,NA,NA,NA,NA,2,3,9,2,15000,25000,30000,25000,2e+05,20000,26000,0,2,3,1,1,3,1,1,1,1,1,1,2,1,2,1,3,1,1,1,1,2,3,2,3,3,2,1,3,3,2,2,0.096428471384385,-0.231154218821912,0,0,0,1,0,1,0.841162939584091,0.286276942411676,-0.405861660504936,0.257258803388261,0.0776229887657042,0.747526764943261,-0.56726843712385,-0.762412857903213,0.943289556493996,0.307159916015837,-0.0516273967123316,-0.182427157599906,-0.179425020709508,"No Déficit (Ahorro/Equilibrio)","No Déficit (Ahorro/Equilibrio)"
548450263,"a948b5bb-1bb2-4eb9-bfcd-7e6711da9702",2023-07-18 14:50:26,2023-07-18 15:11:42,1275,"complete","112f6b85409f200d",1,1,69,7,1,13,1,NA,".",1,NA,5,4,4,4,2,4,3,4,3,4,1,3,4,3,3,3,2,1,3,98,"Una inflaci!n abusiva (exagerada respecto del resto del mundo)",5,0,0,1,1,3,3,4,2,2,2,4,2,4,2,5,3,3,3,3,3,4,3,2,4,3,3,2,4,3,2,1,3,1,2,3,1,2,4,2,4,4,2,4,3,3,3,3,4,2,1,"Abuso. Destrucci!n del Estado.",4,5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,9,4,1,NA,".",8,NA,5,1,1,2,1,2,2,1,2,1,1,2,200,600,2,100,0,1,0,0,0,0,1,0,2e+05,3,NA,1,NA,2,NA,NA,NA,NA,NA,2,4,2,50000,120000,90000,80000,2e+05,50000,50000,60000,1,3,3,1,3,2,3,2,3,1,2,3,2,2,2,1,1,3,1,1,3,1,2,2,2,2,1,3,3,1,5,0.239245028403881,0.248366483810331,0,0,1,0,0,1,-0.24326150232017,-0.373513914366298,-0.390992857047081,0.0632505861862931,-0.0119847000765221,0.0589393561806647,0.0862240336638151,-0.161369908353935,-0.305288508082292,-0.527213750104736,-0.594728278447115,-0.192934301315407,-0.11097646201642,"No Déficit (Ahorro/Equilibrio)","No Déficit (Ahorro/Equilibrio)"
548450373,"4c7c1a51-5e9f-4189-b01d-05f7b6ee377c",2023-07-18 14:51:04,2023-07-18 15:26:02,2097,"complete","50d8cd037249c975",3,2,40,4,3,6,1,NA,".",3,NA,5,3,2,1,3,5,2,2,2,4,2,2,2,3,2,2,2,2,3,3,NA,4,1,1,1,0,1,2,5,2,3,5,3,2,5,3,3,4,3,5,3,5,4,4,5,3,3,2,2,4,2,3,2,2,1,3,3,2,1,4,2,2,4,4,4,2,4,4,1,3,5,3,"Vivir para comprar lo que no es una necesidad generalmente",5,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,9,1,1,NA,".",1,5,5,3,1,2,1,2,2,2,2,1,2,3,200,9000,3,200,0,1,1,1,1,1,0,0,4e+05,3,NA,NA,NA,NA,NA,NA,NA,1,NA,8,NA,6,40000,1e+05,2e+05,1e+05,6e+05,3e+05,1e+05,2e+05,1,1,1,2,3,1,1,1,3,1,1,1,2,1,1,1,1,3,3,1,1,1,3,1,1,3,2,1,2,2,5,8.23697222149566,0.933396058999251,0,1,1,0,0,1,-0.0830766367885118,-0.525522379327594,-0.275778592176959,0.16227311710094,-0.451276264900859,-0.100119479239301,-0.1350284001034,-0.402025179230595,-0.262236531424866,-0.482660591606307,0.0452266246394952,-0.132345510721127,-0.620836036802306,"No Déficit (Ahorro/Equilibrio)","No Déficit (Ahorro/Equilibrio)"
548450391,"8925078a-cf7f-4d93-94fd-29464ea59698",2023-07-18 14:51:13,2023-07-18 15:03:09,716,"complete","d6b2943925444fcc",3,2,48,5,3,7,1,NA,".",2,NA,1,3,4,4,4,4,2,3,2,3,2,4,4,2,2,2,4,3,4,NA,".",3,0,1,0,0,3,1,3,3,1,1,4,1,4,3,5,3,4,4,5,2,3,5,3,4,3,2,1,4,3,1,1,3,1,3,3,1,1,5,2,2,4,2,2,5,4,2,2,3,2,2,"Personas que siempre est!n comprando",4,5,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,4,1,NA,".",7,1,5,1,1,2,1,2,1,1,2,1,0,1,56,90,2,20,1,0,1,0,0,1,0,0,5e+05,3,NA,2,NA,NA,NA,NA,NA,1,NA,8,2,2,20000,25000,0,60000,120000,20000,67000,0,1,3,3,3,3,1,2,1,2,1,3,3,1,1,1,3,2,3,3,1,3,3,1,1,3,3,2,3,3,2,5,-0.246331265462405,-0.299657176340804,0,1,1,0,0,1,-0.308402778955982,0.173090566409949,0.114471851343004,0.016727154051304,0.125407936062823,0.0939761246076984,-0.303511294822587,-0.0959270101920517,-0.0208364675820454,0.0681727098602062,0.21808181254816,0.0903979242177489,0.0896756317747625,"No Déficit (Ahorro/Equilibrio)","No Déficit (Ahorro/Equilibrio)"
548450509,"18a32408-6203-4a7b-9150-2dc7d5148ad0",2023-07-18 14:51:45,2023-07-18 15:10:03,1097,"complete","a53311772958ddc9",3,1,74,7,3,7,1,NA,".",3,NA,1,5,4,4,5,3,4,3,4,3,2,4,4,4,4,3,5,3,1,NA,".",3,0,0,0,1,1,2,3,2,4,2,5,2,5,4,5,5,5,5,5,4,4,5,4,4,3,4,5,5,2,3,2,2,2,3,3,1,1,4,2,2,2,4,1,2,4,2,3,2,2,3,"Personas muy consumidoras",3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,9,1,1,NA,".",7,1,5,3,1,2,1,1,1,1,1,2,2,2,100,300,3,80,1,1,0,0,0,0,0,0,1e+05,3,NA,NA,1,NA,NA,2,NA,NA,NA,3,6,3,25000,30000,120000,1e+05,2e+05,30000,15000,0,1,3,3,3,2,3,2,3,2,1,3,3,3,3,2,3,2,3,3,3,1,3,3,1,3,2,3,3,2,2,5,-0.046388085635111,0.111360568772547,0,0,1,0,0,1,0.419007309768769,0.908477089654165,1.12855905910978,0.0019108540361302,0.25307893447715,0.598875782689668,0.783565057670387,0.218177298644684,0.337014437197562,0.787649607666349,0.677102663508129,0.569709462793666,0.185710754933919,"No Déficit (Ahorro/Equilibrio)","No Déficit (Ahorro/Equilibrio)"
548450609,"f869bd46-a292-445e-b810-0617745d2393",2023-07-18 14:52:13,2023-07-18 15:08:47,993,"complete","644dff58365dcfda",3,1,74,7,4,7,1,NA,".",3,NA,4,1,4,4,2,5,3,4,4,4,1,1,4,2,3,2,2,1,3,3,NA,5,1,1,1,1,2,2,5,1,4,1,5,2,3,2,5,4,4,5,4,5,5,5,4,4,4,4,3,5,4,3,2,4,2,5,5,3,5,4,1,3,1,5,1,5,4,1,2,4,2,5,"El quehacer de la gente gira en torno al gasto en lo que sea.",3,1,3,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,8,1,1,NA,".",8,5,1,1,1,2,1,2,2,2,2,1,1,2,80,850,4,120,0,0,0,1,0,1,0,0,150000,2,2,NA,NA,NA,NA,NA,NA,1,NA,8,1,3,8500,24000,45000,12000,50000,10000,15000,0,2,3,3,1,3,2,3,3,3,1,1,3,1,2,1,1,1,3,2,3,1,3,1,1,3,3,1,3,1,2,3,0.477272623436374,0.385372398848115,0,0,0,1,0,1,0.994578646706812,0.352306486851021,1.65262431006027,-0.0353705367436226,0.420781348548997,0.6407735558177,0.0336797115286499,-0.168608444873719,1.01248129095949,0.205303933914457,0.36963437834782,0.813183995622474,0.418098240534949,"No Déficit (Ahorro/Equilibrio)","No Déficit (Ahorro/Equilibrio)"
548450717,"ba25ec34-65c6-4eda-a633-81b4b2c2d3bc",2023-07-18 14:52:42,2023-07-18 15:19:50,1627,"complete","46dd491f3149bc6c",1,1,72,7,2,3,1,NA,".",1,NA,1,2,4,2,4,4,4,3,2,4,2,4,2,3,4,2,3,3,1,NA,".",1,0,1,0,0,1,3,3,2,2,2,4,3,3,4,5,4,4,5,4,4,4,4,3,4,3,3,4,4,4,3,2,4,2,3,4,2,4,4,2,2,3,4,4,2,4,2,2,4,3,2,"algo referido a la necesidad de consumir algo,grupos social que consume",4,2,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,9,1,1,NA,".",7,NA,2,1,1,2,1,2,2,2,2,2,2,2,80,100,2,30,0,0,0,0,0,1,0,0,400,2,NA,1,NA,NA,NA,NA,NA,2,NA,2,8,5,35000,50000,20000,0,2e+05,30000,40000,0,1,3,1,3,3,3,2,1,3,1,3,1,2,3,1,2,2,3,3,2,1,1,3,1,3,3,1,2,3,1,5,-0.236810161661106,-0.231154218821912,0,0,1,0,0,1,0.65797462204894,0.143209589305815,0.185280452880227,-0.266779354991417,0.139178093964433,0.181005397019834,-0.11070738772148,-0.25909974116637,0.689426975294449,0.177465018155876,0.182737571853546,0.0741181842111529,0.140328474551003,"No Déficit (Ahorro/Equilibrio)","No Déficit (Ahorro/Equilibrio)"
